kit_number,player_name,position,Date of birth / Age,nationality,height,foot,joined,signed_from,contract,market_value,club_name
27,Irkham Mila,Right Winger,"May 2, 1998 (25)",Indonesia,"1,68m",right,15-Jan-18,PERSIS Solo,-,€150k,PSS Sleman
28,Arlan,Attacking Midfield,"Aug 18, 2002 (20)",Indonesia,-,right,1-Jun-22,PSS Sleman Youth,-,€25k,PSS Sleman
30,Kevin Gomes,Left-Back,"Jun 24, 1998 (25)",Indonesia,"1,82m",left,20-Jan-23,PERSIS Solo,-,€125k,PSS Sleman
31,Safaat Romadhona,Goalkeeper,"Nov 18, 2002 (20)",Indonesia,"1,78m",,1-Jul-23,Persab Brebes,-,-,PSS Sleman
32,Jonathan Bustos,Attacking Midfield,"Jun 29, 1994 (29)",Argentina,"1,74m",left,1-Jul-23,Borneo FC Samarinda,-,€350k,PSS Sleman
33,Wahyudi Hamisi,Defensive Midfield,"Jul 28, 1997 (25)",Indonesia,"1,66m",right,1-Jul-23,Borneo FC Samarinda,-,€75k,PSS Sleman
36,Dominikus Dion,Attacking Midfield,"Oct 14, 2004 (18)",Indonesia,"1,66m",,1-Jul-23,PSS Sleman Youth,-,-,PSS Sleman
38,Nyoman Ansanay,Right-Back,"Jul 8, 2001 (21)",Indonesia,"1,74m",right,1-Jul-23,Persewar Waropen,-,€25k,PSS Sleman
46,Todd Ferre,Attacking Midfield,"Mar 15, 1999 (24)",Indonesia,"1,58m",right,11-May-22,Persipura Jayapura,-,€175k,PSS Sleman
72,Bayu Setiawan,Right-Back,"Dec 27, 1998 (24)",Indonesia,-,right,1-Jul-23,RANS Nusantara FC,-,€25k,PSS Sleman
78,Ifan Nanda,Centre-Back,"Mar 29, 2001 (22)",Indonesia,"1,81m",right,29-Aug-20,PSS Sleman Youth,30-Jun-24,€75k,PSS Sleman
80,Hokky Caraka,Centre-Forward,"Aug 21, 2004 (18)",Indonesia,"1,86m",right,10-May-22,PSS Sleman Youth,-,€200k,PSS Sleman
88,Leonard Tupamahu,Centre-Back,"Jul 9, 1983 (39)",Indonesia,"1,79m",right,1-Jul-23,Bali United FC,-,€10k,PSS Sleman
92,Dave Mustaine,Central Midfield,"Nov 16, 1992 (30)",Indonesia,"1,80m",right,21-Dec-21,Arema FC,-,€100k,PSS Sleman
96,Abduh Lestaluhu,Left-Back,"Oct 16, 1993 (29)",Indonesia,"1,70m",left,1-Jul-23,PERSIS Solo,-,€200k,PSS Sleman
2,Muhammad Syukron,Centre-Back,"Feb 24, 1997 (26)",Indonesia,"1,83m",right,1-Jul-23,Persipa Pati,-,€25k,RANS Nusantara FC
3,Ângelo,Centre-Back,"Jul 3, 1993 (30)",Portugal,"1,89m",right,1-Jul-23,SC Covilhã,-,€200k,RANS Nusantara FC
5,Dallen Doke,Right-Back,"Jan 2, 1998 (25)",Indonesia,"1,72m",right,1-Jul-23,PSM Makassar,-,€100k,RANS Nusantara FC
7,Tavinho,Right Winger,"Sep 4, 1993 (29)",Portugal,"1,81m",right,1-Jul-23,FC Alverca,-,-,RANS Nusantara FC
8,Antoni Nugroho,Right Winger,"Feb 25, 1994 (29)",Indonesia,"1,68m",both,1-Jul-23,Bhayangkara FC,-,€125k,RANS Nusantara FC
9,Kenshiro Daniels,Centre-Forward,"Jan 13, 1995 (28)",Philippines,"1,77m",right,1-Jul-23,Sukhothai FC,-,€200k,RANS Nusantara FC
10,Evandro Brandão,Second Striker,"May 7, 1991 (32)",Angola,"1,81m",right,1-Jul-23,FC Alverca,-,-,RANS Nusantara FC
11,Abdul Rahman,Attack,"Aug 1, 2002 (20)",Indonesia,-,,1-Jul-23,Serpong City FC,-,-,RANS Nusantara FC
13,Samsul Arifin,Left-Back,"Jan 3, 1992 (31)",Indonesia,"1,63m",left,1-Jul-23,Bhayangkara FC,-,€75k,RANS Nusantara FC
17,Paulo Sitanggang,Central Midfield,"Oct 17, 1995 (27)",Indonesia,"1,68m",right,1-Jul-23,Borneo FC Samarinda,-,€150k,RANS Nusantara FC
19,Rabbani Tasnim,Centre-Forward,"May 26, 2003 (20)",Indonesia,"1,85m",right,1-Jul-23,Borneo FC Samarinda,30-Jun-24,€125k,RANS Nusantara FC
20,Andi Irfan,Left Winger,"May 25, 2001 (22)",Indonesia,"1,61m",right,1-Jul-23,Sada Sumut FC,-,€100k,RANS Nusantara FC
21,Aqsal Mustafa,Right Winger,"Sep 8, 2001 (21)",Indonesia,-,right,1-Jul-23,Without Club,-,-,RANS Nusantara FC
22,Marckho Merauje,Right-Back,"Dec 4, 1994 (28)",Indonesia,"1,78m",right,1-Jul-23,PSS Sleman,-,€150k,RANS Nusantara FC
23,Hamka Hamzah,Centre-Back,"Jan 29, 1984 (39)",Indonesia,"1,83m",right,1-Jul-23,FC Bekasi City,-,-,RANS Nusantara FC
25,Zidane Afandi,Defensive Midfield,,Indonesia,-,,1-Jul-23,Without Club,-,-,RANS Nusantara FC
26,Kiko,Centre-Back,"Mar 25, 2000 (23)",Portugal,"1,82m",both,1-Jul-23,CDC Montalegre,-,-,RANS Nusantara FC
27,Meru Kimura,Centre-Back,"Jun 27, 2001 (22)",Indonesia,"1,87m",left,1-Mar-22,PSKC Cimahi,1-Mar-25,€50k,RANS Nusantara FC
28,Arif Satria,Centre-Back,"Sep 17, 1995 (27)",Indonesia,"1,83m",right,22-Apr-22,Persebaya Surabaya,2024,€200k,RANS Nusantara FC
34,Try Hamdani,Goalkeeper,"Jan 3, 1994 (29)",Indonesia,"1,82m",left,1-Jul-23,PSS Sleman,-,€75k,RANS Nusantara FC
36,Ilhamsyah,Defensive Midfield,"Jul 2, 1999 (24)",Indonesia,"1,69m",right,1-Jul-23,Borneo FC Samarinda,-,€50k,RANS Nusantara FC
45,Taufik Hidayat,Left-Back,"Mar 20, 1993 (30)",Indonesia,"1,67m",right,1-Jul-23,PSIS Semarang,-,€125k,RANS Nusantara FC
57,Fikri Ntong,Goalkeeper,"May 28, 2003 (20)",Indonesia,"1,80",right,15-Apr-22,RANS Nusantara FC Youth,-,€10k,RANS Nusantara FC
64,Wahyudi,Goalkeeper,"Aug 24, 1998 (24)",Indonesia,"1,80m",right,8-May-21,Badak Lampung FC,31-Mar-24,€75k,RANS Nusantara FC
66,Mitsuru Maruoka,Central Midfield,"Jan 6, 1996 (27)",Japan,"1,70m",right,10-Jul-22,Gimpo FC,2024,€200k,RANS Nusantara FC
78,Muhammad Irman,Centre-Forward,"May 21, 1999 (24)",Indonesia,"1,70m",right,1-Jul-23,PSCS Cilacap,-,€50k,RANS Nusantara FC
88,Fadilla Akbar,Defensive Midfield,"Sep 8, 2001 (21)",Indonesia,"1,73m",left,14-Apr-21,Without Club,2024,€150k,RANS Nusantara FC
93,Erwin Ramdani,Left Winger,"Mar 11, 1993 (30)",Indonesia,"1,69m",left,1-Jul-23,PERSIB Bandung,-,€125k,RANS Nusantara FC
97,Hilmansyah,Goalkeeper,"May 25, 1997 (26)",Indonesia,"1,83m",right,20-Apr-22,PSM Makassar,2024,€150k,RANS Nusantara FC
99,KH Yudo,Left Winger,"Jul 16, 1993 (29)",Indonesia,"1,73m",both,1-Jul-23,Arema FC,-,€125k,RANS Nusantara FC
